@title,iHOT-12
1- ﺑﺸﻜﻞ ﻋﺎم، ﻛﻢ ھﻮ ﻣﻘﺪار اﻷﻟﻢ اﻟﺬي ﺗﺸﻌﺮ ﺑﮫ ﻓﻲ ورﻛﻚ/ﻓﺨﺬك؟,10- لا ألم على الإطلاق,9,8,7,6,5,4,3,2,1,0- ألم شديد
2- ﻣﺎ ﻣﺪى ﺻﻌﻮﺑﺔ اﻟﻨﮭﻮض من واﻟﺠﻠﻮس ﻋﻠﻰ اﻷرض؟,10- لا صعوبة على الإطلاق,9,8,7,6,5,4,3,2,1,0- صعوبة شديدة
3- ﻣﺎ ﻣﺪى ﺻﻌﻮﺑﺔ اﻟﻤﺸﻲ ﻟﻤﺴﺎﻓﺎت طﻮﯾﻠﺔ؟,10- لا صعوبة على الإطلاق,9,8,7,6,5,4,3,2,1,0- صعوبة شديدة
4- ﻛﻢ ھﻮ ﻣﻘﺪار اﻟﻤﺸﺎﻛﻞ اﻟﺘﻲ ﺗﻌﺎﻧﻲ ﻣﻨﮭﺎ ﻣﻦ اﻟﻨﻘﺮ(اﻟﻄﻘﻄﻘﺔ)، أو اﻟﻀﻮﺿﺎء (اﻷﺻﻮات ﻏﯿﺮ اﻟﻄﺒﯿﻌﯿﺔ) ﻓﻲ ورﻛﻚ؟,10- لا مشاكل على الإطلاق,9,8,7,6,5,4,3,2,1,0- مشاكل شديدة
5- ﻛﻢ ھﻮ ﻣﻘﺪار اﻟﻤﺸﺎﻛﻞ اﻟﺘﻲ ﺗﻮاﺟﮭﮭﺎ ﻓﻲ دﻓﻊ، أو ﺳﺤﺐ، أو رﻓﻊ، أو ﺣﻤﻞ اﻷﺷﯿﺎء اﻟﺜﻘﯿﻠﺔ؟,10- لا مشاكل على الإطلاق,9,8,7,6,5,4,3,2,1,0- مشاكل شديدة
6- ﻣﺎ ﻣﺪى ﻗﻠﻘﻚ ﺑﺸﺄن ﺗﻐﯿﯿﺮ اﻻﺗﺠﺎھﺎت أﺛﻨﺎء اﻟﺮﯾﺎﺿﺔ أو اﻷﻧﺸﻄﺔ اﻟﺘﺮﻓﯿﮭﯿﺔ؟,10- لا قلق على الإطلاق,9,8,7,6,5,4,3,2,1,0- قلق شديد
7- ﻛﻢ ھﻮ ﻣﻘﺪار اﻷﻟﻢ اﻟﺬي ﺗﺸﻌﺮ ﺑﮫ ﻓﻲ ورﻛﻚ ﺑﻌﺪ اﻟﻨﺸﺎط؟,10- لا ألم على الإطلاق,9,8,7,6,5,4,3,2,1,0- ألم شديد
8- ﻣﺎ ﻣﺪى ﻗﻠﻘﻚ ﺑﺸﺄن اﻟﺘﻘﺎط أو ﺣﻤﻞ اﻷطﻔﺎل ﺑﺴﺒﺐ ورﻛﻚ؟,10- لا قلق على الإطلاق,9,8,7,6,5,4,3,2,1,0- قلق شديد
9- ﻛﻢ ھﻮ ﻣﻘﺪار اﻟﻤﺸﺎﻛﻞ اﻟﺘﻲ ﺗﻮاﺟﮭﮭﺎ ﻓﻲ اﻟﻨﺸﺎط اﻟﺠﻨﺴﻲ ﺑﺴﺒﺐ ورﻛﻚ؟,10- لا مشاكل على الإطلاق,9,8,7,6,5,4,3,2,1,0- مشاكل شديدة
10- ﻛﻢ ﻣﻦ اﻟﻮﻗﺖ ﺗﻜﻮن ﻣﺪرﻛًﺎ ﻟﻺﻋﺎﻗﺔ ﻓﻲ ورﻛﻚ؟,10- غير مدرك على الإطلاق,9,8,7,6,5,4,3,2,1,0- مدرك دائمًا
11- ﻣﺎ ﻣﺪى ﻗﻠﻘﻚ ﺑﺸﺄن ﻗﺪرﺗﻚ ﻋﻠﻰ اﻟﺤﻔﺎظ ﻋﻠﻰ ﻣﺴﺘﻮى اﻟﻠﯿﺎﻗﺔ اﻟﺒﺪﻧﯿﺔ اﻟﻤﻄﻠﻮب؟,10- لا قلق على الإطلاق,9,8,7,6,5,4,3,2,1,0- قلق شديد
12- إﻟﻰ أي ﻣﺪى ﺗﺆﺛﺮ ﻣﺸﻜﻠﺔ ورﻛﻚ ﻋﻠﻰ ﺗﺮﻛﯿﺰك ؟,10- لا إلهاء على الإطلاق,9,8,7,6,5,4,3,2,1,0- إلهاء شديد
